,Unnamed: 0,id,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,is_location_exact,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,guests_included,extra_people,minimum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1348,1348,13901242,100%,0,17.0,17.0,1,0,0,39.94317,116.40158999999998,0,1,8,1.0,1,1.0,0,"2,400.00",1,50.00,1,30,60,90,365,6,0,2016-08-29,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0,17,4,13,0,0.18
1349,1349,13901312,100%,0,26.0,26.0,1,1,3,39.92005,116.5788,0,0,2,1.0,1,1.0,0,297.00,1,0.00,1,29,59,89,364,1,0,2016-08-13,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,2,0,0,25,23,2,0,0.03
1350,1350,13908789,,0,8.0,8.0,1,1,0,39.93845,116.4168,1,2,1,1.0,1,5.0,4,97.00,1,0.00,1,0,0,0,0,20,0,2016-08-10,97.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,1,0,0,8,0,3,5,0.59
1351,1351,13908919,,0,8.0,8.0,1,1,0,39.94487,116.41061,0,1,3,1.0,1,2.0,0,270.00,1,100.00,1,0,0,0,77,32,0,2016-07-16,93.0,9.0,10.0,10.0,10.0,10.0,9.0,1,0,1,0,0,8,0,3,5,0.92
1352,1352,13909263,90%,0,15.0,15.0,1,1,3,39.95954,116.44346000000002,0,0,2,1.0,1,1.0,0,581.00,1,0.00,2,30,60,90,365,4,1,2016-09-10,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0,15,15,0,0,0.12
1353,1353,13909439,,0,8.0,8.0,1,1,0,39.94216,116.4049,1,2,1,1.5,1,5.0,0,97.00,1,0.00,1,0,0,0,262,15,0,2016-07-30,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,1,0,0,8,0,3,5,0.44
1354,1354,13916440,,0,1.0,1.0,1,1,3,39.91447,116.51042,0,1,2,1.0,1,1.0,0,387.00,1,35.00,1,30,60,90,365,19,0,2016-07-21,96.0,10.0,9.0,10.0,10.0,9.0,9.0,0,0,0,0,0,1,0,1,0,0.55
1356,1356,13917268,100%,1,4.0,4.0,1,1,2,40.035,116.28598,0,1,1,1.0,1,1.0,0,256.00,1,35.00,1,28,58,88,363,16,8,2017-08-14,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,1,0,0,3,0,3,0,0.74
1358,1358,13919905,98%,0,22.0,22.0,1,1,3,39.93296,116.44277,1,0,2,1.0,1,1.0,0,456.00,2,80.00,1,17,39,39,220,22,6,2016-07-13,89.0,10.0,9.0,10.0,10.0,10.0,9.0,1,0,2,0,0,21,21,0,0,0.63
1359,1359,13920015,100%,0,13.0,13.0,1,0,0,39.94649,116.40024,0,0,5,1.0,1,3.0,0,325.00,2,80.00,1,25,35,37,38,145,25,2016-07-16,91.0,9.0,9.0,9.0,10.0,10.0,9.0,1,0,0,0,0,7,7,0,0,4.18
1360,1360,13922593,100%,0,2.0,2.0,1,0,9,39.84223,116.35242,0,1,1,1.0,1,1.0,0,97.00,1,75.00,1,27,57,87,88,3,1,2016-07-27,100.0,10.0,10.0,10.0,10.0,9.0,10.0,1,0,1,0,0,2,0,1,1,0.09
1361,1361,13929121,97%,0,12.0,12.0,1,0,3,39.87658,116.46865,0,0,10,1.0,4,5.0,0,649.00,1,0.00,1,30,60,90,365,7,2,2017-09-10,90.0,8.0,8.0,9.0,9.0,9.0,9.0,0,0,0,0,0,14,14,0,0,0.34
1362,1362,13935285,100%,1,1.0,1.0,1,1,2,39.95654,116.3485,0,0,2,1.0,1,1.0,0,304.00,2,60.00,5,0,19,49,140,55,14,2016-07-21,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,2,0,0,1,1,0,0,1.59
1363,1363,13943480,100%,1,10.0,10.0,1,1,3,39.91969,116.44428,0,0,2,1.0,1,1.0,0,802.00,1,0.00,2,10,24,46,321,74,42,2016-09-05,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0,9,9,0,0,2.24
1364,1364,13944452,100%,0,10.0,10.0,1,1,0,39.93726,116.41981,1,1,2,1.0,1,1.0,0,581.00,2,0.00,1,16,34,64,324,114,53,2016-08-03,96.0,10.0,9.0,10.0,10.0,9.0,9.0,1,0,0,0,0,10,1,9,0,3.35
1365,1365,13944487,100%,0,10.0,10.0,1,1,0,39.93866,116.4195,1,1,2,1.0,1,1.0,0,602.00,1,0.00,1,17,35,65,332,114,44,2016-07-25,97.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,0,0,0,10,1,9,0,3.32
1366,1366,13946219,100%,0,1.0,1.0,1,1,3,39.92923,116.50981000000002,0,0,2,1.0,1,1.0,0,256.00,2,0.00,2,13,13,13,13,52,27,2016-11-20,96.0,10.0,9.0,10.0,10.0,10.0,10.0,0,0,1,0,0,1,1,0,0,1.71
1368,1368,13946621,100%,0,10.0,10.0,1,1,0,39.93768,116.41978,1,1,2,1.0,1,1.0,0,581.00,2,0.00,1,18,36,66,331,116,46,2016-07-22,96.0,10.0,10.0,10.0,10.0,10.0,9.0,1,0,0,0,0,10,1,9,0,3.37
1369,1369,13951470,100%,0,1.0,1.0,1,0,3,39.95712,116.4333,0,1,2,1.0,1,1.0,0,249.00,1,0.00,2,30,60,90,91,19,0,2016-08-11,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,2,0,0,1,0,1,0,0.56
1370,1370,13951775,100%,0,2.0,2.0,1,0,7,40.07491,116.42006,0,1,2,1.0,1,1.0,0,159.00,1,0.00,2,30,60,90,365,7,5,2017-10-03,97.0,9.0,9.0,10.0,10.0,9.0,9.0,1,0,2,0,0,1,0,1,0,0.35
1371,1371,13961744,100%,1,3.0,3.0,1,1,3,39.92891,116.5176,0,1,2,1.0,1,1.0,0,277.00,1,0.00,1,29,59,89,364,35,12,2016-07-23,95.0,10.0,9.0,10.0,10.0,10.0,10.0,1,0,2,0,0,3,0,1,2,1.02
1372,1372,13962253,100%,0,10.0,10.0,1,1,0,39.93731,116.42116,1,1,2,1.0,1,1.0,0,602.00,1,0.00,1,14,32,58,325,147,60,2016-07-16,94.0,10.0,9.0,10.0,10.0,9.0,9.0,1,0,0,0,0,10,1,9,0,4.24
1375,1375,13962955,100%,0,5.0,5.0,1,0,11,39.81146,116.50853,0,1,2,1.0,1,1.0,0,200.00,1,0.00,1,0,20,50,325,2,0,2017-05-13,100.0,10.0,10.0,10.0,10.0,9.0,10.0,0,0,1,0,0,5,1,4,0,0.08
1377,1377,13963539,,0,1.0,1.0,1,0,3,40.01367,116.46313,0,0,2,1.0,1,1.0,0,367.00,1,0.00,1,0,0,0,0,1,0,2017-10-07,100.0,10.0,10.0,10.0,10.0,8.0,10.0,1,0,2,0,0,1,1,0,0,0.05
1378,1378,13966946,100%,0,5.0,5.0,1,0,3,39.9443,116.46309,0,1,2,1.0,1,1.0,0,228.00,1,60.00,1,0,0,16,291,5,2,2016-09-06,96.0,10.0,10.0,10.0,10.0,9.0,10.0,0,0,1,0,0,5,0,5,0,0.15
1379,1379,13970175,100%,0,10.0,10.0,1,1,0,39.93907,116.42079,1,1,2,1.0,1,1.0,0,519.00,1,0.00,1,22,40,70,336,93,41,2016-07-23,98.0,10.0,10.0,10.0,10.0,10.0,9.0,1,0,0,0,0,10,1,9,0,2.7
