,id,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,is_location_exact,accommodates,bathrooms,bedrooms,beds,price,guests_included,extra_people,minimum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,neighbourhood_cleansed0,neighbourhood_cleansed1,neighbourhood_cleansed2,neighbourhood_cleansed3,neighbourhood_cleansed4,neighbourhood_cleansed5,neighbourhood_cleansed6,neighbourhood_cleansed7,neighbourhood_cleansed8,neighbourhood_cleansed9,neighbourhood_cleansed10,neighbourhood_cleansed11,neighbourhood_cleansed12,neighbourhood_cleansed13,neighbourhood_cleansed14,neighbourhood_cleansed15,bed_type0,bed_type1,bed_type2,bed_type3,bed_type4,room_type0,room_type1,room_type2,cancellation_policy0,cancellation_policy1,cancellation_policy2
4757,21916006,100,0,34,34,1,0,39.97557,116.30829,0,4,1,2,2,436,4,0,1,29,59,89,364,6,6,2018/12/9,87,8,9,9,9,9,8,1,0,0,34,34,0,0,1.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
4794,21953677,93,0,22,22,1,0,39.93538,116.43638,0,2,1,1,1,436,2,50,1,16,41,71,162,27,13,2017/12/3,88,9,9,9,9,10,9,1,0,0,14,14,0,0,1.51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
4801,21967745,100,0,75,75,1,0,39.91945,116.65761,0,5,2,3,3,436,1,0,1,29,59,89,180,9,4,2017/12/16,78,8,8,9,9,8,9,1,0,0,75,72,3,0,0.52,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
5314,22753175,100,1,2,2,1,0,39.92716,116.40105,0,3,1,1,1,436,2,130,1,13,24,42,43,111,82,2018/1/26,97,10,10,10,10,10,10,0,0,0,1,1,0,0,6.92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
5354,22818332,100,0,6,6,1,0,39.87013,116.45698,0,5,1,2,3,436,1,0,1,30,60,90,365,2,1,2018/5/1,80,9,8,6,10,9,9,0,0,0,6,5,1,0,0.16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
5357,22818956,96.53,0,1,1,1,0,39.89516,116.466,0,2,1,1,1,436,1,0,1,0,0,0,0,4,0,2018/1/26,90,10,10,10,10,10,9,1,0,0,1,1,0,0,0.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
5582,23134288,100,0,3,3,1,0,39.9159,116.40324,0,6,1,2,3,436,1,0,1,26,56,86,87,18,11,2018/2/17,93,9,10,9,10,9,9,0,0,0,3,3,0,0,1.18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
5599,23153646,99,0,11,11,1,0,39.94687,116.4263,1,4,1,2,2,436,4,0,1,25,55,85,360,2,2,2019/1/13,90,10,9,10,10,9,9,1,0,0,10,10,0,0,0.47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
5603,23153671,100,0,34,34,1,0,39.98356,116.43066,0,4,1,2,2,436,4,0,1,20,50,80,355,8,8,2018/7/21,93,10,10,10,10,10,10,1,0,0,34,34,0,0,0.79,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
5607,23153691,100,0,34,34,1,0,39.92467,116.47237,0,4,1,2,2,436,4,0,1,26,56,86,361,2,2,2018/7/22,60,6,6,6,6,8,6,1,0,0,34,34,0,0,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
5608,23153695,100,0,34,34,1,0,39.93413,116.44132,1,4,1,2,2,436,4,0,1,29,59,89,364,6,6,2018/10/6,67,8,7,7,7,8,7,1,0,0,34,34,0,0,0.79,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
