,id,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,is_location_exact,accommodates,bathrooms,bedrooms,beds,price,guests_included,extra_people,minimum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,neighbourhood_cleansed0,neighbourhood_cleansed1,neighbourhood_cleansed2,neighbourhood_cleansed3,neighbourhood_cleansed4,neighbourhood_cleansed5,neighbourhood_cleansed6,neighbourhood_cleansed7,neighbourhood_cleansed8,neighbourhood_cleansed9,neighbourhood_cleansed10,neighbourhood_cleansed11,neighbourhood_cleansed12,neighbourhood_cleansed13,neighbourhood_cleansed14,neighbourhood_cleansed15,bed_type0,bed_type1,bed_type2,bed_type3,bed_type4,room_type0,room_type1,room_type2,cancellation_policy0,cancellation_policy1,cancellation_policy2
1976,17615789,100.0,0,11,11,1,0,39.89563,116.50555,0,3,1.0,1,1,456,1,0,1,24,54,84,175,19,15,711.0,99,10,10,10,10,9,10,0,0,0,11,11,0,0,0.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1977,17616484,96.53,0,1,1,1,0,39.89664000000001,116.44146,0,1,1.0,1,1,111,1,50,1,0,0,18,293,10,0,790.0,93,10,9,9,9,9,9,0,0,0,1,0,0,1,0.38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1978,17618929,100.0,0,7,7,1,0,39.92708,116.42135,0,4,1.0,2,2,346,1,100,1,27,57,87,362,3,3,359.0,100,10,10,10,10,10,10,1,0,0,7,6,1,0,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1979,17625881,100.0,0,13,13,1,1,39.9409,116.43332,0,2,1.0,1,1,201,1,0,1,23,52,82,83,128,44,797.0,92,9,9,10,10,10,10,1,0,0,7,0,7,0,4.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
1980,17627719,100.0,0,28,28,1,0,39.88938,116.40158999999998,0,7,1.0,2,3,802,1,0,1,20,42,72,341,53,23,794.0,92,10,9,10,10,10,9,1,0,0,24,24,0,0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1981,17629355,100.0,0,4,4,1,1,39.93605,116.20423,0,2,1.0,1,1,290,1,0,1,30,60,90,365,4,4,322.0,80,8,9,9,8,9,8,0,0,0,3,0,3,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
1982,17630081,96.53,0,1,1,1,0,39.92523,116.60535,0,4,1.0,2,2,325,1,0,1,0,0,0,0,3,0,787.0,100,10,10,10,10,10,10,1,0,0,1,1,0,0,0.11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1983,17642725,100.0,0,13,13,1,1,39.93976,116.4327,0,2,1.0,1,1,201,1,0,1,14,44,74,75,87,31,799.0,91,9,9,9,9,10,9,1,0,0,7,0,7,0,3.26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
1984,17643610,100.0,0,2,2,1,0,39.84418,116.44178,0,3,1.0,1,3,297,3,60,1,0,20,50,325,5,2,726.0,100,10,10,10,10,10,10,1,0,0,2,2,0,0,0.21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1985,17645894,100.0,0,4,4,1,1,39.95593,116.44522,0,2,1.0,1,1,401,1,50,1,19,49,79,80,6,2,525.0,100,10,10,10,10,9,9,1,0,0,4,4,0,0,0.34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1986,17647987,50.0,0,1,1,1,0,39.93182,116.46267,0,4,1.0,1,2,339,1,33,1,26,56,86,361,17,2,768.0,98,10,10,10,10,10,10,1,0,0,1,1,0,0,0.66,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1987,17656394,100.0,1,11,11,1,1,39.89808,116.46321,1,4,1.0,1,1,380,3,50,1,19,49,79,80,173,59,787.0,98,10,10,10,10,10,10,1,0,0,9,7,1,1,6.59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1988,17658317,100.0,0,9,9,1,1,40.42429,116.62826,0,2,1.0,1,1,780,1,0,1,27,57,87,362,11,7,750.0,96,10,10,10,10,10,9,0,0,0,9,1,8,0,0.44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
1989,17663461,100.0,1,7,7,1,1,40.03627,116.41471,0,2,2.0,1,1,214,2,69,1,0,0,0,92,58,29,794.0,99,10,10,10,10,10,10,0,0,0,6,1,5,0,2.19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
1990,17668450,100.0,1,1,1,1,0,39.9226,116.44222,0,1,1.0,1,1,207,1,180,3,5,11,35,36,6,6,297.0,93,9,9,10,10,9,10,0,0,0,1,1,0,0,0.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1991,17669586,100.0,0,9,9,1,1,40.42557,116.62984,0,2,1.0,1,1,663,1,0,1,27,57,87,362,16,6,778.0,96,10,9,10,10,10,9,1,0,0,9,1,8,0,0.62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
1992,17669677,100.0,0,9,9,1,1,40.42595,116.62975,0,2,1.0,1,1,325,1,0,1,22,52,82,357,29,11,787.0,98,10,10,10,10,10,10,1,0,0,9,1,8,0,1.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
1993,17670062,100.0,0,2,2,1,0,39.95733,116.46627,0,3,1.0,1,2,519,1,0,1,30,60,90,365,6,0,786.0,100,10,10,10,10,10,9,1,0,0,2,2,0,0,0.23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1994,17671212,100.0,0,9,9,1,1,40.42458,116.62875,0,2,1.0,1,1,780,1,0,1,27,57,87,362,6,3,779.0,100,10,10,10,10,10,9,1,0,0,9,1,8,0,0.23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
